"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"217","2019/2020","Oleksandr Vorobei","Goalkeeper","24","Ukraine","Volyn Lutsk","Ukraine","Persha Liha","Ahrobiznes V.","Ukraine","Persha Liha","?"
"218","2019/2020","Kamil Salakhetdinov","Right-Back","19","Russia","Kazanka","Russia","PFL West","FK Tambov II","Russia","U20 Premier Liga","?"
"219","2019/2020","Vladimir Medved","Right Midfield","19","Belarus","FK Slutsk","Belarus","Vysheyshaya Liga","Rostov","Russia","Premier Liga","?"
"220","2019/2020","Dusan Jokovic","Centre-Back","20","Serbia","LASK","Austria","Bundesliga","NK Lokomotiva","Croatia","1.HNL","?"
"221","2019/2020","Matías Ramírez","Midfielder","20","Argentina","Ferro","Argentina","Primera Nacional","Villa Dálmine","Argentina","Primera Nacional","?"
"222","2019/2020","Ugurcan Gülay","Centre-Back","19","Turkey","Kayserispor U21","Turkey","","Payasspor","Turkey","3.Lig Grup 2","?"
"223","2019/2020","Aykhan Guseynov","Centre-Forward","19","Russia","Leningradets","Russia","PFL West","Nizhny Novgorod","Russia","1.Division","?"
"224","2019/2020","Henrique Dourado","Centre-Forward","29","Brazil","HN Jianye","China","Super League","Henan Reserves","China","","-"
"225","2019/2020","Adalgisio Pitbull","Centre-Forward","29","Brazil","Botafogo","Brazil","","","","","-"
"226","2019/2020","Lin'guang Zhang","Midfielder","24","China","","","","SZ Dongwu","China","League Two South","-"
"227","2019/2020","Mikhail Sorochkin","Centre-Forward","27","Russia","Gorodeya","Belarus","Vysheyshaya Liga","","","","-"
"228","2019/2020","Rouhollah Bagheri","Centre-Forward","28","Iran","Esteghlal FC ","Iran","Persian Gulf Pro League","","","","-"
"229","2019/2020","Dmytro Sydorenko","Centre-Back","24","Ukraine","Metalist 1925","Ukraine","Persha Liha","","","","-"
"230","2019/2020","Oleh Borodai","Centre-Back","26","Ukraine","","","","Avanhard K.","Ukraine","Persha Liha","-"
"231","2019/2020","Jefferson Kanu","Centre-Forward","29","Brazil","Ríver-PI","Brazil","","","","","-"
"232","2019/2020","Roman Honcharenko","Centre-Back","25","Ukraine","","","","Kremin","Ukraine","Persha Liha","-"
"233","2019/2020","Luis Salazar","Centre-Back","24","Colombia","ASA","Brazil","","","","","-"
"234","2019/2020","Mu-geon Kim","Right Winger","22","Korea, South","","","","Chuncheon FC","Korea, South","","-"
"235","2019/2020","Dmitri Belov","Right Winger","24","Russia","","","","Znamya Truda","Russia","PFL West","-"
"236","2019/2020","Amir Saipi","Goalkeeper","19","Serbia","Schaffh. Yth.","Switzerland","","FC Schaffhausen","Switzerland","Challenge League","-"
"237","2019/2020","Cheikh Bamba Kane","Defensive Midfield","22","Senegal","Smouha","Egypt","Premier League","","","","-"
"238","2019/2020","Soslan Takulov","Centre-Back","24","Russia","Rustavi","Georgia","Crystalbet Erovnuli Liga","","","","-"
"239","2019/2020","Cheol-ho Jeong","Right Winger","25","Korea, South","","","","Chuncheon FC","Korea, South","","-"
"240","2019/2020","Marko Nikolic","Right-Back","21","Serbia","","","","Rad","Serbia","Linglong Tire Super liga Srbije","-"
"241","2019/2020","Michael López","Centre-Forward","21","Argentina","CA Banfield","Argentina","Superliga","CA Banfield II","Argentina","","-"
"242","2019/2020","Denis Yaskovich","Defensive Midfield","23","Belarus","Energetik-BGU","Belarus","Vysheyshaya Liga","","","","-"
"243","2019/2020","Tomás Molina","Centre-Forward","24","Argentina","Huracán II","Argentina","","Brown Adrogue","Argentina","Primera Nacional","?"
"244","2019/2020","Ebraheim Khameis","Forward","26","United Arab Emirates","Fujairah SC","United Arab Emirates","","Ittihad Kalba","United Arab Emirates","UAE Gulf League","?"
"245","2019/2020","Vazgen Saribekyan","Left-Back","16","Armenia","Lokomotiv","Armenia","First League","Ararat-Armenia","Armenia","Bardsragujn chumb","?"
"246","2019/2020","Mauro Albertengo","Left Winger","29","Argentina","Rafaela","Argentina","Primera Nacional","Agropecuario","Argentina","Primera Nacional","?"
"247","2019/2020","Salvatore Lillo","Right Winger","27","Italy","Fasano","Italy","Serie D - H","Inveruno","Italy","Serie D - A","?"
"248","2019/2020","Pedro Goulart","Centre-Forward","21","Mexico","Puebla FC","Mexico","Liga MX Apertura","Cimarrones","Mexico","Ascenso MX Apertura","?"
"249","2019/2020","Alhusain Saleh Easa Ali","Midfielder","28","United Arab Emirates","Al-Nasr","United Arab Emirates","UAE Gulf League","Al-Wahda FC","United Arab Emirates","UAE Gulf League","?"
"250","2019/2020","Daniyar Bikmukhamedov","Central Midfield","18","Russia","Akademia Rubin ","Russia","U17 Youth League","FK Sochi II","Russia","U20 Premier Liga","?"
"251","2019/2020","Perotti","Centre-Forward","21","Brazil","Chapecoense","Brazil","Série A","Nacional","Portugal","Liga Pro","?"
"252","2019/2020","Wesley Natã","Left Winger","24","Brazil","Chapecoense","Brazil","Série A","FC Tsarsko Selo","Bulgaria","Parva Liga","?"
"253","2019/2020","Dominik Martisiak","Left Winger","18","Slovakia","FK Senica","Slovakia","Fortuna Liga","Banik Ostrava","Czech Republic","Fortuna Liga","?"
"254","2019/2020","Dejan Racic","Centre-Forward","20","Montenegro","Mornar Bar","Montenegro","Druga Liga","OFK Grbalj","Montenegro","Telekom 1. CFL","?"
"255","2019/2020","Roger","Attacking Midfield","23","Brazil","FK Kukësi","Albania","Kategoria Superiore","Riga","Latvia","Virsliga","?"
"256","2019/2020","Mohammad Reza Firouzizadeh","Defensive Midfield","","Iran","Sh. Mahshahr","Iran","","Qashqai Shiraz","Iran","Azadegan League","?"
"257","2019/2020","Javier Liendo","Central Midfield","31","Argentina","Pérez Zeledón","Costa Rica","Primera Div. Apertura","","","","?"
"258","2019/2020","Kevin Ceceri","Left-Back","23","Argentina","","","","Guillermo Brown","Argentina","Primera Nacional","?"
"259","2019/2020","Daniel Garro","Right Midfield","28","Argentina","CA Sarmiento","Argentina","Primera Nacional","CD Maipu","Argentina","","?"
"260","2019/2020","Marcelinho","Second Striker","22","Brazil","Londrina-PR","Brazil","Série B","Marítimo","Portugal","Liga NOS","?"
"261","2019/2020","Franco Racca","Centre-Back","27","Argentina","Chacarita Jrs","Argentina","Primera Nacional","Rafaela","Argentina","Primera Nacional","?"
"262","2019/2020","Richárd Fujsz","Left Winger","21","Hungary","Pécsi MFC","Hungary","","Oberpullendorf","Austria","","?"
"263","2019/2020","Kerim Tutundzic","Centre-Back","19","Bosnia-Herzegovina","NK Visoko","Bosnia-Herzegovina","","","","","?"
"264","2019/2020","Leonel Müller","Left-Back","23","Argentina","Huracán II","Argentina","","Defensores","Argentina","Primera Nacional","?"
"265","2019/2020","Mohamed El Amine Belmokhtar","Right Winger","24","Algeria","CS Constantine","Algeria","Ligue Professionnelle 1","CABB Arreridj","Algeria","Ligue Professionnelle 1","?"
"266","2019/2020","Mohammed Kadiri","Defensive Midfield","23","Ghana","Austria Vienna","Austria","Bundesliga","Dynamo Kyiv","Ukraine","Premier Liga","?"
"267","2019/2020","Abou Ouattara","Right Winger","19","Burkina Faso","KV Mechelen","Belgium","Jupiler Pro League","LOSC Lille B","France","","?"
"268","2019/2020","Hyeon-su Jang","Centre-Back","27","Korea, South","FC Tokyo","Japan","J1 League","Hilal","Saudi Arabia","Professional League","?"
"269","2019/2020","Marco Firenze","Attacking Midfield","26","Italy","Crotone","Italy","Serie B","Salernitana","Italy","Serie B","?"
"270","2019/2020","Bojan Djordjic","Right Midfield","25","Serbia","FK Varnsdorf","Czech Republic","FNL","Slovan Liberec","Czech Republic","Fortuna Liga","?"
"271","2019/2020","Jurgen Gjini","Centre-Forward","29","Albania","","","","KF Liria","Kosovo","","?"
"272","2019/2020","Wesam Al-Swed","Left-Back","31","Saudi Arabia","Faisaly","Saudi Arabia","Professional League","Al-Hazm","Saudi Arabia","Professional League","?"
"273","2019/2020","Neilson","Centre-Forward","31","Brazil","Maringá FC","Brazil","","Inter de Lages","Brazil","","?"
"274","2019/2020","Riechedly Bazoer","Central Midfield","22","Netherlands","VfL Wolfsburg","Germany","Bundesliga","Vitesse","Netherlands","Eredivisie","?"
"275","2019/2020","Attila Osváth","Right-Back","23","Hungary","Puskás AFC","Hungary","NB I.","Paksi FC","Hungary","NB I.","?"
"276","2019/2020","Borisav Cicovic","Left-Back","25","Bosnia-Herzegovina","Slavija S.","Bosnia-Herzegovina","Prva Liga RS","","","","?"
"277","2019/2020","Simon Kupec","Left-Back","23","Slovakia","Ruzomberok","Slovakia","Fortuna Liga","FC Petrzalka","Slovakia","II. Liga","?"
"278","2019/2020","Nemanja Glavcic","Central Midfield","22","Serbia","Spartak","Serbia","Linglong Tire Super liga Srbije","Slaven Belupo","Croatia","1.HNL","?"
"279","2019/2020","Jakub Janetzky","Attacking Midfield","22","Czech Republic","FK Jablonec","Czech Republic","Fortuna Liga","FC Zlin","Czech Republic","Fortuna Liga","?"
"280","2019/2020","Juan Tuesta","Defensive Midfield","25","Peru","Garcilaso","Peru","Liga 1 Apertura","CSD Alianza","Peru","Liga 1 Apertura","?"
"281","2019/2020","Ryan Haynes","Left-Back","23","England","Shrewsbury","England","League One","Newport County","Wales","League Two","?"
"282","2019/2020","Junior Makiesse","Left Winger","26","Congo","Al-Ahly Tripoli","Libya","","US Tataouine","Tunisia","Ligue I Pro","?"
"283","2019/2020","Leonardo Villalba","Left Midfield","24","Argentina","CA Sarmiento","Argentina","Primera Nacional","Central Córdoba","Argentina","Superliga","?"
"284","2019/2020","Robert Richnak","Attacking Midfield","27","Slovakia","SKF Sered","Slovakia","Fortuna Liga","FC Petrzalka","Slovakia","II. Liga","?"
"285","2019/2020","Zoran Petrovic","Right Winger","23","Montenegro","OFK Titograd","Montenegro","Telekom 1. CFL","FK Jablonec","Czech Republic","Fortuna Liga","?"
"286","2019/2020","Daniel Köstl","Centre-Back","21","Czech Republic","Sparta Prag U21","Czech Republic","","Bohemians 1905","Czech Republic","Fortuna Liga","?"
"287","2019/2020","Okan Duran","Centre-Back","29","Turkey","Z. Kömürspor","Turkey","2.Lig Beyaz","Nevsehir Bld","Turkey","3.Lig Grup 3","?"
"288","2019/2020","Kivanc Kücükkaris","Goalkeeper","25","Turkey","Tire Sportif","Turkey","3.Lig Grup 1","Altindag Bld","Turkey","3.Lig Grup 3","?"
"289","2019/2020","Cherif Kebaili","Forward","23","Algeria","USM Annaba","Algeria","","NC Magra","Algeria","Ligue Professionnelle 1","?"
"290","2019/2020","Bartosz Pikul","Central Midfield","21","Poland","Górnik Zabrze","Poland","Ekstraklasa","Odra Wodzislaw","Poland","","?"
"291","2019/2020","Pavol Bellas","Centre-Forward","22","Slovakia","Michalovce","Slovakia","Fortuna Liga","Vranov","Slovakia","","?"
"292","2019/2020","Guido Pulidori","Goalkeeper","22","Italy","Catania","Italy","Serie C - C","Carrarese","Italy","Serie C - A","?"
"293","2019/2020","Kemal Kazan","Centre-Back","21","Turkey","Y. Corumspor","Turkey","2.Lig Beyaz","1954 Kelkit Bld","Turkey","3.Lig Grup 3","?"
"294","2019/2020","Patrik Hrosovsky","Central Midfield","27","Slovakia","Viktoria Plzen","Czech Republic","Fortuna Liga","KRC Genk","Belgium","Jupiler Pro League","?"
"295","2019/2020","James Donachie","Centre-Back","26","Australia","Jeonnam Dragons","Korea, South","K League 2","Melbourne","Australia","A-League","?"
"296","2019/2020","Iver Fossum","Central Midfield","23","Norway","Hannover 96","Germany","2. Bundesliga","Aalborg BK","Denmark","Superligaen","?"
"297","2019/2020","Junior Sibande","Left-Back","26","South Africa","Highlands Park ","South Africa","ABSA Premiership","Ajax Cape Town","South Africa","","?"
"298","2019/2020","Marijan Coric","Goalkeeper","24","Croatia","FK Palanga","Lithuania","A Lyga","NK Uljanik","Croatia","","?"
"299","2019/2020","Victor Massaia","Centre-Back","27","Brazil","Arouca","Portugal","","Cova Piedade","Portugal","Liga Pro","?"
"300","2019/2020","Henrik Rolland","Midfielder","24","Norway","Stjördals B.","Norway","PostNord-ligaen Avd. 1","Vindbjart FK","Norway","","?"
"301","2019/2020","Kresimir Jelic","Centre-Back","25","Croatia","FK Krupa","Bosnia-Herzegovina","Prva Liga RS","NK Novigrad","Croatia","","?"
"302","2019/2020","Marin Roglic","Right Winger","22","Croatia","NK Lucko","Croatia","","NK Trnje Zagreb","Croatia","","?"
"303","2019/2020","Lars-Jörgen Salvesen","Centre-Forward","23","Norway","Sarpsborg 08","Norway","Eliteserien","Strømsgodset","Norway","Eliteserien","?"
"304","2019/2020","Álex Robles","Right-Back","20","Spain","A. Malagueño","Spain","","Sevilla Atl.","Spain","2ª B - Grupo IV","?"
"305","2019/2020","Dragan Rosic","Goalkeeper","22","Serbia","Mladost","Serbia","Super liga Srbije","UD Almería","Spain","LaLiga2","?"
"306","2019/2020","Youssef Khemiri","Left Winger","25","Tunisia","Esperance","Tunisia","Ligue I Pro","AS Gabès","Tunisia","","?"
"307","2019/2020","Vladimir Buric","Right Winger","21","Croatia","Hrv Dragovoljac","Croatia","2.HNL","NK Lucko","Croatia","","?"
"308","2019/2020","Ousmane Camara","Right Winger","20","Guinea","AFC Eskilstuna","Sweden","Allsvenskan","Vålerenga","Norway","Eliteserien","?"
"309","2019/2020","Ngonda Muzinga","Left-Back","24","DR Congo","AS Vita Club","DR Congo","","Dijon","France","Ligue 1","?"
"310","2019/2020","Andrea Mutti","Central Midfield","19","Italy","Bologna U19","Italy","Primavera 1","Mezzolara","Italy","Serie D - D","?"
"311","2019/2020","Mohammed El Hasnaoui","Defensive Midfield","30","Morocco","Rapide Oued Zem","Morocco","Botola Pro","Kawkab Marrakech","Morocco","","?"
"312","2019/2020","Sergio Pérez","Right Winger","22","Spain","UD Almería B","Spain","","Cádiz B","Spain","2ª B - Grupo IV","?"
"313","2019/2020","Karim Giraev","Centre-Forward","22","Russia","Biolog","Russia","PFL South","Makhachkala","Russia","PFL South","?"
"314","2019/2020","Dino Radetic","Midfielder","21","Croatia","NK Ankaran","Slovenia","","NK Uljanik","Croatia","","?"
"315","2019/2020","Vasiliy Yatskov","Centre-Forward","17","Russia","Almaz-Antei ","Russia","","Orenburg II","Russia","U20 Premier Liga","?"
"316","2019/2020","Maksym Zhychykov","Right-Back","26","Ukraine","","","","FK Minaj","Ukraine","Persha Liha","-"
"317","2019/2020","Boris Sagredo","Attacking Midfield","30","Chile","ABC FC","Brazil","","","","","-"
"318","2019/2020","Péter Pölöskei","Centre-Forward","30","Hungary","Budafoki MTE","Hungary","NB II.","","","","-"
"319","2019/2020","Aleksandr Filtsov","Goalkeeper","29","Russia","Rotor Volgograd","Russia","1.Division","","","","-"
"320","2019/2020","Predrag Kascelan","Centre-Back","29","Montenegro","OFK Grbalj","Montenegro","Telekom 1. CFL","","","","-"
"321","2019/2020","Oleg Andronic","Centre-Forward","30","Moldova","Zimbru Chisinau","Moldova","Divizia Nationala","","","","-"
"322","2019/2020","Eugen Sidorenco","Left Winger","30","Moldova","Poli Timisoara","Romania","","","","","-"
"323","2019/2020","Ivano Feola","Goalkeeper","27","Italy","Nocerina","Italy","Serie D - I","","","","-"
"324","2019/2020","Lejdi Liçaj","Left Midfield","32","Albania","Flamurtari FC","Albania","Kategoria Superiore","","","","-"
"325","2019/2020","Andrea Bertolacci","Central Midfield","28","Italy","AC Milan","Italy","Serie A","","","","-"
"326","2019/2020","Alessio Petti","Left-Back","28","Italy","Rimini","Italy","Serie C - B","","","","-"
"327","2019/2020","Irakli Dzaria","Defensive Midfield","30","Georgia","FK Kukësi","Albania","Kategoria Superiore","","","","-"
"328","2019/2020","Sally Sarr","Centre-Back","33","Mauritania","Servette FC","Switzerland","Super League","","","","-"
"329","2019/2020","Brian Lluy","Right-Back","30","Argentina","Quilmes","Argentina","Primera Nacional","","","","-"
"330","2019/2020","Cody McDonald","Centre-Forward","33","England","Ebbsfleet Utd","England","National League","","","","-"
"331","2019/2020","Zsolt Merczel","Right-Back","29","Hungary","Rákospalota","Hungary","","","","","-"
"332","2019/2020","Serhii Zahynailov","Centre-Forward","28","Ukraine","Atyrau","Kazakhstan","Premier Liga","","","","-"
"333","2019/2020","Krzysztof Baran","Goalkeeper","29","Poland","GKS Katowice","Poland","2 Liga","","","","-"
"334","2019/2020","Bajram Ajeti","Centre-Forward","30","Norway","Afjet Afyonspor","Turkey","2.Lig Beyaz","","","","-"
"335","2019/2020","Milan Djuric","Attacking Midfield","31","Serbia","Vojvodina","Serbia","Linglong Tire Super liga Srbije","","","","-"
"336","2019/2020","Arkadiusz Piech","Centre-Forward","34","Poland","Slask Wroclaw","Poland","Ekstraklasa","","","","-"
"337","2019/2020","Joel Acosta","Right Winger","28","Argentina","Apollon Smyrnis","Greece","","","","","-"
"338","2019/2020","Ángel Trujillo","Centre-Back","31","Spain","UD Almería","Spain","LaLiga2","","","","-"
"339","2019/2020","Delphin Tshiembe","Centre-Back","27","Denmark","Hamilton Acad.","Scotland","Premiership","","","","-"
"340","2019/2020","Alessandro Cazzamalli","Central Midfield","40","Italy","Pergolettese","Italy","Serie C - A","","","","-"
"341","2019/2020","Timothy Durwael","Right-Back","28","Belgium","KFC Turnhout","Belgium","","","","","-"
"342","2019/2020","Tommaso Bellazzini","Attacking Midfield","31","Italy","Alessandria","Italy","Serie C - A","","","","-"
"343","2019/2020","Yuma Suzuki","Centre-Forward","23","Japan","Kashima Antlers","Japan","J1 League","Sint-Truiden","Belgium","Jupiler Pro League","?"
"344","2019/2020","Bekir Melih Gökcimen","Left-Back","19","Turkey","Galatasaray U19","Turkey","Türkiye Ligi U19 Elit A","1922 Konya","Turkey","2.Lig Beyaz","?"
"345","2019/2020","Stefan Gavranovic","Defensive Midfield","22","Bosnia-Herzegovina","Rudar Prijedor","Bosnia-Herzegovina","Prva Liga RS","SC Pfullendorf","Germany","VL Südbaden","?"
"346","2019/2020","Erol Can Akdag","Defensive Midfield","22","Turkey","Giresunspor","Turkey","1.Lig","Agri 1970 Spor","Turkey","3.Lig Grup 2","?"
